iter	Passed	Remaining
883	23222	3047
884	23249	3021
885	23277	2995
886	23307	2969
887	23337	2943
888	23371	2918
889	23400	2892
890	23428	2866
891	23456	2840
892	23488	2814
893	23516	2788
894	23543	2762
895	23571	2735
896	23598	2709
897	23626	2683
898	23654	2657
899	23683	2631
900	23710	2605
901	23738	2579
902	23768	2553
903	23798	2527
904	23825	2501
905	23856	2475
906	23885	2449
907	23915	2423
908	23941	2396
909	23969	2370
910	24001	2344
911	24030	2318
912	24058	2292
913	24087	2266
914	24119	2240
915	24151	2214
916	24187	2189
917	24217	2163
918	24247	2137
919	24274	2110
920	24300	2084
921	24325	2057
922	24351	2031
923	24376	2005
924	24403	1978
925	24427	1952
926	24455	1925
927	24481	1899
928	24504	1872
929	24529	1846
930	24562	1820
931	24594	1794
932	24626	1768
933	24657	1742
934	24686	1716
935	24716	1690
936	24746	1663
937	24775	1637
938	24806	1611
939	24835	1585
940	24862	1558
941	24890	1532
942	24919	1506
943	24949	1480
944	24984	1454
945	25015	1427
946	25044	1401
947	25077	1375
948	25108	1349
949	25136	1322
950	25167	1296
951	25198	1270
952	25228	1244
953	25258	1217
954	25288	1191
955	25317	1165
956	25347	1138
957	25378	1112
958	25404	1086
959	25433	1059
960	25458	1033
961	25482	1006
962	25506	980
963	25532	953
964	25556	926
965	25581	900
966	25604	873
967	25629	847
968	25655	820
969	25678	794
970	25704	767
971	25730	741
972	25754	714
973	25780	688
974	25805	661
975	25830	635
976	25856	608
977	25881	582
978	25908	555
979	25934	529
980	25960	502
981	25985	476
982	26009	449
983	26034	423
984	26061	396
985	26087	370
986	26112	343
987	26136	317
988	26162	290
989	26187	264
990	26213	238
991	26237	211
992	26263	185
993	26290	158
994	26313	132
995	26338	105
996	26365	79
997	26392	52
998	26414	26
999	26439	0
